Date,Amc_Name,Crop,Maximum,Minimum,Modal
2016-02-01,Mahbubnagar,Groundnut pods-Common,5270.0,3040.0,4050.0
2016-02-01,Wanaparthy Town,Groundnut pods-Common,6090.0,4010.0,4967.0
2016-02-01,Warangal,Groundnut pods-Common,5800.0,2000.0,2500.0
2016-02-01,Mahbubnagar,Maize-Common,1463.0,1463.0,1463.0
2016-02-01,Narsampet,Maize-Common,1411.0,1406.0,1406.0
2016-02-01,Siddipet,Maize-Common,1529.0,1496.0,1510.0
2016-02-01,Warangal,Maize-Common,1462.0,1425.0,1462.0
2016-03-01,Makthal,Groundnut pods-Common,3840.0,3120.0,3580.0
2016-03-01,Wanaparthy Town,Groundnut pods-Common,6098.0,4130.0,5010.0
2016-04-01,Mahbubnagar,Groundnut pods-Common,5490.0,2790.0,4556.0
2016-04-01,Makthal,Groundnut pods-Common,3520.0,3520.0,3520.0
2016-04-01,Narayanpet,Groundnut pods-Common,3600.0,3000.0,3300.0
2016-04-01,Suryapet,Groundnut pods-Common,5129.0,2789.0,4819.0
2016-04-01,Wanaparthy Town,Groundnut pods-Common,6020.0,4018.0,4930.0
2016-04-01,Warangal,Groundnut pods-Common,5600.0,2000.0,3000.0
2016-04-01,Jammikunta,Maize-Common,1480.0,1480.0,1480.0
2016-04-01,Siddipet,Maize-Common,1526.0,1494.0,1510.0
2016-04-01,Warangal,Maize-Common,1440.0,1400.0,1430.0
2016-04-01,Narayanpet,Bengal Gram-Common,4611.0,4611.0,4611.0
2016-05-01,Mahbubnagar,Groundnut pods-Common,5300.0,3060.0,4060.0
2016-05-01,Narayanpet,Groundnut pods-Common,3811.0,3050.0,3430.0
2016-05-01,Suryapet,Groundnut pods-Common,5131.0,3139.0,5131.0
2016-05-01,Warangal,Groundnut pods-Common,5900.0,2000.0,2500.0
2016-05-01,Jammikunta,Maize-Common,1490.0,1490.0,1490.0
2016-05-01,Siddipet,Maize-Common,1522.0,1502.0,1512.0
2016-05-01,Warangal,Maize-Common,1464.0,1415.0,1450.0
2016-06-01,Mahbubnagar,Groundnut pods-Common,5336.0,3666.0,4050.0
2016-06-01,Makthal,Groundnut pods-Common,3860.0,3860.0,3860.0
2016-06-01,Narayanpet,Groundnut pods-Common,4100.0,3120.0,3610.0
2016-06-01,Suryapet,Groundnut pods-Common,5269.0,2359.0,4669.0
2016-06-01,Wanaparthy Town,Groundnut pods-Common,6030.0,4007.0,4970.0
2016-06-01,Warangal,Groundnut pods-Common,6000.0,2500.0,4600.0
2016-06-01,Jammikunta,Maize-Common,1488.0,1468.0,1487.0
2016-06-01,Siddipet,Maize-Common,1525.0,1470.0,1498.0
2016-06-01,Suryapet,Maize-Common,1311.0,1311.0,1311.0
2016-06-01,Warangal,Maize-Common,1464.0,1440.0,1450.0
2016-07-01,Mahbubnagar,Groundnut pods-Common,5209.0,3070.0,4287.0
2016-07-01,Narayanpet,Groundnut pods-Common,4000.0,3119.0,3300.0
2016-07-01,Siddipet,Groundnut pods-Common,5040.0,5040.0,5040.0
2016-07-01,Suryapet,Groundnut pods-Common,5429.0,3159.0,4039.0
2016-07-01,Wanaparthy Town,Groundnut pods-Common,6062.0,4090.0,4980.0
2016-07-01,Warangal,Groundnut pods-Common,6025.0,2000.0,3700.0
2016-07-01,Mahbubnagar,Maize-Common,1312.0,1312.0,1312.0
2016-07-01,Siddipet,Maize-Common,1527.0,1482.0,1505.0
2016-07-01,Warangal,Maize-Common,1470.0,1440.0,1450.0
2016-07-01,Narayanpet,Bengal Gram-Common,4656.0,4656.0,4656.0
2016-08-01,Mahbubnagar,Groundnut pods-Common,5179.0,3000.0,4221.0
2016-08-01,Makthal,Groundnut pods-Common,4320.0,3320.0,3520.0
2016-08-01,Narayanpet,Groundnut pods-Common,4850.0,3100.0,3975.0
2016-08-01,Suryapet,Groundnut pods-Common,5516.0,3019.0,5429.0
2016-08-01,Wanaparthy Town,Groundnut pods-Common,5887.0,4090.0,4899.0
2016-08-01,Warangal,Groundnut pods-Common,6200.0,2500.0,3200.0
2016-08-01,Jammikunta,Maize-Common,1486.0,1450.0,1486.0
2016-08-01,Siddipet,Maize-Common,1527.0,1400.0,1464.0
2016-08-01,Warangal,Maize-Common,1506.0,1440.0,1460.0
2016-08-01,Narayanpet,Bengal Gram-Common,4606.0,4406.0,4506.0
2016-09-01,Makthal,Groundnut pods-Common,3770.0,2670.0,3010.0
2016-09-01,Narayanpet,Groundnut pods-Common,4510.0,3222.0,3850.0
2016-09-01,Suryapet,Groundnut pods-Common,5421.0,2019.0,5111.0
2016-09-01,Wanaparthy Town,Groundnut pods-Common,5790.0,4077.0,4890.0
2016-09-01,Warangal,Groundnut pods-Common,6300.0,3100.0,3500.0
2016-09-01,Siddipet,Maize-Common,1521.0,1500.0,1511.0
2016-09-01,Warangal,Maize-Common,1502.0,1420.0,1470.0
2016-11-01,Atmakur,Groundnut pods-Common,3667.0,3547.0,3547.0
2016-11-01,Mahbubnagar,Groundnut pods-Common,5270.0,3351.0,4089.0
2016-11-01,Makthal,Groundnut pods-Common,3890.0,3311.0,3511.0
2016-11-01,Narayanpet,Groundnut pods-Common,5020.0,3309.0,4000.0
2016-11-01,Siddipet,Groundnut pods-Common,5040.0,5040.0,5040.0
